Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,261,1,1,365,0.9968152866242038,0.996725482834856,0.996725482834856,0.996725482834856,0.996725482834856
Val,0,23,7,11,30,0.7464788732394366,0.7491869918699188,0.7436406995230525,0.7491869918699188,0.7439903846153847
