Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,205,57,104,262,0.7436305732484076,0.7491448713135611,0.7423735175660184,0.7491448713135611,0.7415010162731538
Val,0,28,2,15,26,0.7605633802816901,0.7837398373983739,0.7898671096345515,0.7837398373983739,0.7603732380385151
