Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,149,113,114,252,0.6385350318471338,0.6286134401201351,0.628475441429241,0.6286134401201351,0.6285427659435866
Val,0,20,10,10,31,0.7183098591549296,0.7113821138211383,0.7113821138211383,0.7113821138211383,0.7113821138211383
