Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,252,10,48,318,0.9076433121019108,0.9153422600425478,0.9047560975609756,0.9153422600425478,0.9066118329966053
Val,0,27,3,15,26,0.7464788732394366,0.7670731707317073,0.7697044334975369,0.7670731707317073,0.7464285714285714
