Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,190,72,83,283,0.7531847133757962,0.7492074417052517,0.7465768972811226,0.7492074417052517,0.7476505891350279
Val,0,27,3,9,32,0.8309859154929577,0.8402439024390245,0.8321428571428571,0.8402439024390245,0.8301435406698565
