Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,256,6,40,326,0.9267515923566879,0.9339048095774413,0.9233962878541192,0.9339048095774413,0.9258300726088877
Val,0,23,7,12,29,0.7323943661971831,0.7369918699186992,0.7313492063492064,0.7369918699186992,0.7304695304695304
