Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,231,31,103,263,0.7866242038216561,0.8001293121428273,0.7930872947981588,0.8001293121428273,0.7860687411022982
Val,0,25,5,15,26,0.7183098591549296,0.733739837398374,0.7318548387096775,0.733739837398374,0.7182539682539683
