Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,211,51,139,227,0.697452229299363,0.7127810453426772,0.7097019527235355,0.7127810453426772,0.6972557138797548
Val,0,22,8,15,26,0.676056338028169,0.683739837398374,0.6796502384737679,0.683739837398374,0.6750248756218905
