Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,203,59,51,315,0.8248407643312102,0.8177324490051308,0.8207292938650048,0.8177324490051308,0.819086528388854
Val,0,23,7,8,33,0.7887323943661971,0.7857723577235773,0.7834677419354839,0.7857723577235773,0.7844565877352763
