Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,241,21,112,254,0.7882165605095541,0.8069181996412631,0.8031779551892866,0.8069181996412631,0.7881257689331963
Val,0,24,6,16,25,0.6901408450704225,0.7048780487804878,0.7032258064516128,0.7048780487804878,0.6900793650793651
