Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,115,147,55,311,0.678343949044586,0.6443290368331039,0.677754944772669,0.6443290368331039,0.6436308881697231
Val,0,14,16,3,38,0.7323943661971831,0.6967479674796748,0.7636165577342048,0.6967479674796748,0.697872340425532
