Set,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,228,34,24,342,0.9076433121019108,0.9023276185708923,0.9071681864235055,0.9023276185708923,0.9044962085854825
Val,23,7,8,33,0.7887323943661971,0.7857723577235773,0.7834677419354839,0.7857723577235773,0.7844565877352763
