Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,258,4,102,264,0.8312101910828026,0.8530221499186585,0.8508706467661691,0.8530221499186585,0.8311947822735248
Val,0,27,3,15,26,0.7464788732394366,0.7670731707317073,0.7697044334975369,0.7670731707317073,0.7464285714285714
