Set,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,179,83,137,229,0.6496815286624203,0.6544445834897593,0.6502150275884453,0.6544445834897593,0.6474466934092742
Val,23,7,16,25,0.676056338028169,0.6882113821138212,0.6854967948717949,0.6882113821138212,0.6757990867579908
