Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,208,54,70,296,0.802547770700637,0.8013181495849497,0.7969578622816034,0.8013181495849497,0.7985930064142355
Val,0,23,7,10,31,0.7605633802816901,0.7613821138211383,0.7563795853269537,0.7613821138211383,0.7574844283705044
