Set,Fold,"Confusion Matrix [0, 0]","Confusion Matrix [0, 1]","Confusion Matrix [1, 0]","Confusion Matrix [1, 1]",Accuracy,Mean Accuracy,Precision,Recall,F1 Score
Train,0,218,44,113,253,0.75,0.7616589496516915,0.7552310618775875,0.7616589496516915,0.7492210530599579
Val,0,27,3,13,28,0.7746478873239436,0.7914634146341464,0.7891129032258064,0.7914634146341464,0.7746031746031745
